"Cities, provincies",Urban 2010,Urban 2011,Urban 2012,Urban 2013,Urban 2014,Urban 2015,Rural 2010,Rural 2011,Rural 2012,Rural 2013,Rural 2014,Rural 2015
Binh  Duong,535.92,1096.63,1152.93,1205.02,1522.34,1587.5,1082.2,603.31,636.78,668.46,455.5,481.7
Dong Nai,854.55,881.69,899.94,916.54,935.6,954.2,1723.25,1780.09,1819.11,1854.88,1895.69,1935.8
Ba Ria - Vung Tau,516.61,535.99,553.68,572.85,591.15,606.8,502.96,504.81,504.17,504.01,502.23,497.5
Ho Chi Minh city,6159.37,6301.07,6412.07,6527.99,6624.34,6727.6,1242.41,1312.36,1377.8,1446.03,1511.58,1580.3
Mekong River Delta,4004.09,4090.05,4128,4161.11,4201.18,4224.9,13204.32,13127.66,13124.6,13108.83,13068.63,13041.9
Long An,254.88,258.73,264.35,268.57,270.31,270.5,1214.36,1245.35,1285.41,1319.28,1341.39,1355.8
Tien Giang,229.88,230.52,231.87,233.69,240.25,242,1448.1,1452.09,1460.59,1472.08,1475.83,1486.7
Ben Tre,125.72,125.79,125.94,125.98,126.01,126.1,1133.67,1136.87,1140.79,1143.73,1146.5,1149.7
Tra Vinh,155.65,157.59,159.59,162.1,164.95,166.5,848.13,846.76,845.53,843.53,841.29,840.3
Vinh Long,156.98,157,157.03,168.3,168.54,168.8,868.62,867.85,865.57,855.55,855.21,854.4
Dong Thap,295.82,295.16,294.52,293.89,293.29,292.7,1364.6,1358.08,1351.65,1345.32,1339.09,1333
An Giang,609.16,608.65,609.6,608.51,607.11,606.6,1513.28,1488.9,1468.34,1443.11,1417.48,1394.2
Kien  Giang,457.04,460.48,463.95,467.23,470.35,473.4,1233.7,1233.97,1234.2,1233.88,1233.05,1232
Can Tho,790.17,797.12,805.03,811.19,817.53,824.1,402.13,398.82,395.9,392.04,388.19,384.4
Hau Giang,153.04,156.5,160.16,163.72,167.33,171.1,602.3,596.23,590.57,584.17,577.62,571.3
Soc Trang,288.79,351.6,360.93,358.92,372.44,375.8,994.72,922.32,905.49,896.05,873.17,860.5
Bac Lieu,228.17,230.73,233.37,235.94,238.59,241.3,633.67,636.14,638.77,641.1,643.57,646
Ca Mau,258.8,260.2,261.66,263.06,264.48,266,947.04,944.3,941.8,939.01,936.25,933.6
